                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4859,                  1.224,                 1.4108,                0.00037,                  0.025,                0.00019,                  2e-05,                 3.8639,                   2595,                 7.9121,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3931,                 1.3126,                 1.3855,                0.01847,                  0.625,                0.01636,                0.00593,                 2.5937,                 43.145,                 2.8522,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3496,                 1.1809,                 1.3873,                0.01847,                  0.625,                0.01636,                0.00593,                 2.5937,                 43.145,                 2.8522,               0.001307,               0.001307,               0.001307
                     37,                 1.4362,                 1.2536,                 1.4886,                0.20526,                0.14855,                0.08964,                0.03355,                 2.5598,                 6.6529,                 2.8856,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6461,                 1.4083,                 1.4784,                0.35661,                   0.15,                0.14707,                0.05721,                 2.4756,                 4.0841,                 2.6667,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3617,                 1.2175,                 1.4136,                0.35661,                   0.15,                0.14707,                0.05721,                 2.4756,                 4.0841,                 2.6667,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4965,                 1.3354,                 1.5554,                0.47317,                   0.35,                0.27477,                0.09902,                 2.4908,                 3.1271,                 2.5719,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3121,                 1.1085,                 1.3312,                0.47317,                   0.35,                0.27477,                0.09902,                 2.4908,                 3.1271,                 2.5719,               0.001208,               0.001208,               0.001208
                     42,                 1.4185,                 1.1598,                 1.4106,                0.31602,                0.28894,                0.21949,                0.09248,                 2.4692,                 2.9826,                  2.425,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3692,                 1.0697,                 1.4367,                0.38727,                   0.35,                0.32584,                0.13008,                 2.4405,                 2.4873,                 2.5758,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3785,                 1.1057,                   1.45,                0.38727,                   0.35,                0.32584,                0.13008,                 2.4405,                 2.4873,                 2.5758,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5343,                 1.1435,                 1.6058,                0.48297,                  0.425,                0.39769,                0.14324,                 2.4193,                 2.4485,                 2.6717,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5613,                 1.1982,                 1.4825,                0.46918,                    0.5,                0.43136,                0.16299,                 2.2283,                 2.3168,                 2.4662,               0.001109,               0.001109,               0.001109
                     47,                 1.5088,                 1.1673,                 1.5351,                0.46918,                    0.5,                0.43136,                0.16299,                 2.2283,                 2.3168,                 2.4662,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.333,                 1.0263,                 1.3699,                0.39071,                   0.55,                0.47631,                0.20003,                 2.1257,                  2.433,                  2.263,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4087,                  1.079,                 1.4772,                0.39071,                   0.55,                0.47631,                0.20003,                 2.1257,                  2.433,                  2.263,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2572,                 0.9525,                 1.3354,                0.49411,                 0.4641,                0.46342,                 0.1902,                 2.1416,                 2.5275,                 2.2296,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2812,                 1.0131,                 1.4061,                0.44368,                    0.3,                0.28491,                0.11886,                 2.1242,                 2.7121,                 2.2916,                0.00101,                0.00101,                0.00101
                     52,                 1.2593,                0.99261,                 1.4071,                0.44368,                    0.3,                0.28491,                0.11886,                 2.1242,                 2.7121,                 2.2916,              0.0009902,              0.0009902,              0.0009902
